Seller Name,provider_id,bpp_id,domain,
meghana foods,6564293,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
verma ji paranthe wale,10950547,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
harsh punjabi dhaba,10377192,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
kabab king restaurant,9027459,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
punjabi angithi by vegorama group,947029,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
empire restaurant,12189753,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
new taj durbar,1829789,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
cafe bistro 57,45627501,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
3 idiots (the pizza spot),47663328,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
amritsari kulcha point,25431298,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
kalpana chinese food,5294208,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
kapoor snacks corner,12312219,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
thalairaj biryani,32530962,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
om corner karol bagh wale,43422522,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
imperio restaurant,3215775,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
nandhana palace,31560194,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
avani restaurant & cafe,45207030,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
brahm point fast food,948241,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
waah punjabi,45856725,webapi.magicpin.in/oms_partner/ondc,ONDC:RET11,
aggarwal store,65c4ef562033887462c9fb08,api.kiko.live/ondc-seller,ONDC:RET10,
bhagat surplus  store,65bb65aed9b504f9bac9beea,api.kiko.live/ondc-seller,ONDC:RET10,
tayal store,65e1d742b3184ee8c7cd3161,api.kiko.live/ondc-seller,ONDC:RET10,
garg store,65f296a3a4966e013b3983fd,api.kiko.live/ondc-seller,ONDC:RET10,
prabodhini traders,64fad1410e017464d6ea2944,api.kiko.live/ondc-seller,ONDC:RET10,
anil enterprises,65dd8702142773cf9f6c53a6,api.kiko.live/ondc-seller,ONDC:RET10,
nandiniwala department store,65bb6710d9b504f9bac9bf89,api.kiko.live/ondc-seller,ONDC:RET10,
new chaudhary store,66025c6061e0994c83947f90,api.kiko.live/ondc-seller,ONDC:RET10,
apni dukan,65cf52d7b05f0c921703bb1e,api.kiko.live/ondc-seller,ONDC:RET10,
wellify,prod-wellify-bpp.shopalyst.com,prod-wellify-bpp.shopalyst.com,ONDC:RET13,
simple skincare,fd297b42-5334-421d-960e-755e0274f890,ondc.xpressbaazaar.com,ONDC:RET13,
love beauty & planet,9304762d-5e74-43b7-8a20-e11f73a233aa,ondc.xpressbaazaar.com,ONDC:RET13,
ranjana birle,bc76989ebdf8148d7889ff5769ecf3ee,prod-sellerapp.shiprocket.com,ONDC:RET13,
acne-squad,8c6cb09a-5fff-40a4-989f-c0259142ed2c,ondc.xpressbaazaar.com,ONDC:RET13,